concept,delta_e,method,title,Approach,type,Segment
lively_forest,73.03813863,query-bg_remove,Q-BG,Query,context,BG Remove
lively_forest,69.41949788,queryclipart-bg_remove,QC-BG,Query,context,BG Remove
mountains,39.36959799,clipart-SAM,AC-SAM,AI,base,SAM
mountains,32.84929996,photo-SAM,AP-SAM,AI,base,SAM
mountains,31.77645808,query-SAM,Q-SAM,Query,base,SAM
mountains,31.77645808,queryclipart-SAM,QC-SAM,Query,base,SAM
mountains,39.71210113,clipart-bg_remove,AC-BG,AI,base,BG Remove
mountains,44.83207245,photo-bg_remove,AP-BG,AI,base,BG Remove
mountains,27.74289714,query-bg_remove,Q-BG,Query,base,BG Remove
mountains,30.50475061,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
mushroom,19.7681708,clipart-SAM,AC-SAM,AI,base,SAM
mushroom,18.86723023,photo-SAM,AP-SAM,AI,base,SAM
mushroom,41.39457765,query-SAM,Q-SAM,Query,base,SAM
mushroom,44.92743307,queryclipart-SAM,QC-SAM,Query,base,SAM
mushroom,19.76515057,clipart-bg_remove,AC-BG,AI,base,BG Remove
mushroom,18.73511503,photo-bg_remove,AP-BG,AI,base,BG Remove
mushroom,29.75586745,query-bg_remove,Q-BG,Query,base,BG Remove
mushroom,29.75586745,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
ocean,16.25846623,clipart-SAM,AC-SAM,AI,environment,SAM
ocean,11.52293587,photo-SAM,AP-SAM,AI,environment,SAM
ocean,64.57353549,query-SAM,Q-SAM,Query,environment,SAM
ocean,8.122659151,queryclipart-SAM,QC-SAM,Query,environment,SAM
ocean,67.31132726,clipart-bg_remove,AC-BG,AI,environment,BG Remove
ocean,67.31132726,photo-bg_remove,AP-BG,AI,environment,BG Remove
ocean,65.32621697,query-bg_remove,Q-BG,Query,environment,BG Remove
ocean,67.31132726,queryclipart-bg_remove,QC-BG,Query,environment,BG Remove
olive,13.00769366,clipart-SAM,AC-SAM,AI,base,SAM
olive,23.9234558,photo-SAM,AP-SAM,AI,base,SAM
olive,18.56658763,query-SAM,Q-SAM,Query,base,SAM
olive,32.44216059,queryclipart-SAM,QC-SAM,Query,base,SAM
olive,13.20769513,clipart-bg_remove,AC-BG,AI,base,BG Remove
olive,23.9234558,photo-bg_remove,AP-BG,AI,base,BG Remove
olive,25.77376209,query-bg_remove,Q-BG,Query,base,BG Remove
olive,30.56676689,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
peach,28.15600979,clipart-SAM,AC-SAM,AI,base,SAM
peach,58.60133719,photo-SAM,AP-SAM,AI,base,SAM
peach,43.91464429,query-SAM,Q-SAM,Query,base,SAM
peach,28.33833423,queryclipart-SAM,QC-SAM,Query,base,SAM
peach,25.99857748,clipart-bg_remove,AC-BG,AI,base,BG Remove
peach,55.31400288,photo-bg_remove,AP-BG,AI,base,BG Remove
peach,40.4487571,query-bg_remove,Q-BG,Query,base,BG Remove
peach,23.00124395,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
peacock,14.47485705,clipart-SAM,AC-SAM,AI,base,SAM
peacock,53.80303179,photo-SAM,AP-SAM,AI,base,SAM
peacock,26.90908377,query-SAM,Q-SAM,Query,base,SAM
peacock,32.4754595,queryclipart-SAM,QC-SAM,Query,base,SAM
peacock,24.84449399,clipart-bg_remove,AC-BG,AI,base,BG Remove
peacock,56.62362061,photo-bg_remove,AP-BG,AI,base,BG Remove
peacock,38.44168229,query-bg_remove,Q-BG,Query,base,BG Remove
peacock,38.44168229,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
penguin,78.3290878,clipart-SAM,AC-SAM,AI,base,SAM
penguin,2.111029743,photo-SAM,AP-SAM,AI,base,SAM
penguin,7.748463938,query-SAM,Q-SAM,Query,base,SAM
penguin,58.22163103,queryclipart-SAM,QC-SAM,Query,base,SAM
penguin,78.3290878,clipart-bg_remove,AC-BG,AI,base,BG Remove
penguin,2.111029743,photo-bg_remove,AP-BG,AI,base,BG Remove
penguin,65.13641752,query-bg_remove,Q-BG,Query,base,BG Remove
penguin,58.34596576,queryclipart-bg_remove,QC-BG,Query,base,BG Remove
polluted_sea,9.899709174,clipart-SAM,AC-SAM,AI,context,SAM
polluted_sea,10.42619705,photo-SAM,AP-SAM,AI,context,SAM
polluted_sea,5.315410664,query-SAM,Q-SAM,Query,context,SAM
polluted_sea,56.76916982,queryclipart-SAM,QC-SAM,Query,context,SAM
polluted_sea,5.750782616,clipart-bg_remove,AC-BG,AI,context,BG Remove
polluted_sea,7.493040361,photo-bg_remove,AP-BG,AI,context,BG Remove
polluted_sea,7.493040361,query-bg_remove,Q-BG,Query,context,BG Remove
polluted_sea,63.83527913,queryclipart-bg_remove,QC-BG,Query,context,BG Remove
polluted_sky,16.98884465,clipart-SAM,AC-SAM,AI,context,SAM
polluted_sky,18.70394017,photo-SAM,AP-SAM,AI,context,SAM
polluted_sky,34.64777893,query-SAM,Q-SAM,Query,context,SAM
polluted_sky,27.35334953,queryclipart-SAM,QC-SAM,Query,context,SAM
polluted_sky,37.58123884,clipart-bg_remove,AC-BG,AI,context,BG Remove
polluted_sky,37.58123884,photo-bg_remove,AP-BG,AI,context,BG Remove
polluted_sky,37.58123884,query-bg_remove,Q-BG,Query,context,BG Remove
polluted_sky,37.58123884,queryclipart-bg_remove,QC-BG,Query,context,BG Remove
quiet_forest,9.926318788,clipart-SAM,AC-SAM,AI,context,SAM
quiet_forest,12.97439107,photo-SAM,AP-SAM,AI,context,SAM
