concept,style,color_0,count_0,color_1,count_1,color_2,count_2,color_3,count_3,color_4,count_4,color_dominant,method
tiger,design,"[61, 39, 17]",2462,"[128, 75, 13]",3055,"[244, 15, 7]",20,"[220, 200, 174]",1916,"[246, 235, 14]",119,"[240, 143, 16]",SAM
tomato,design,"[148, 54, 26]",4172,"[72, 109, 56]",2342,"[187, 47, 16]",5377,"[57, 160, 49]",746,"[206, 197, 185]",467,"[240, 80, 47]",SAM
cherry,design,"[78, 9, 9]",2191,"[128, 23, 18]",4168,"[34, 76, 33]",281,"[163, 23, 21]",6720,"[189, 136, 114]",855,"[208, 16, 15]",SAM
peach,design,"[59, 118, 53]",2862,"[75, 183, 62]",1533,"[70, 214, 39]",193,"[97, 234, 192]",576,"[246, 211, 224]",5023,"[240, 175, 208]",SAM
mushroom,design,"[104, 80, 57]",8553,"[218, 183, 138]",4120,"[229, 200, 103]",916,"[8, 247, 8]",1,"[228, 215, 212]",1817,"[152, 87, 56]",SAM
crocodile,design,"[19, 27, 12]",715,"[119, 8, 7]",4,"[75, 88, 39]",1343,"[8, 231, 8]",10,"[248, 248, 7]",2,"[16, 80, 16]",SAM
penguin,design,"[61, 61, 77]",2477,"[158, 104, 60]",519,"[163, 162, 165]",3868,"[226, 167, 48]",447,"[180, 179, 160]",2176,"[217, 217, 217]",SAM
lion,design,"[80, 60, 36]",5672,"[152, 91, 36]",3089,"[152, 122, 65]",7168,"[219, 170, 60]",2897,"[204, 184, 143]",3669,"[209, 153, 113]",SAM
grassland,design,"[25, 19, 92]",22,"[85, 148, 74]",26085,"[103, 173, 30]",11365,"[203, 163, 102]",3677,"[168, 190, 71]",8782,"[119, 199, 119]",SAM
mountains,design,"[71, 71, 56]",4067,"[150, 117, 88]",3040,"[62, 153, 153]",484,"[168, 136, 104]",2180,"[141, 146, 140]",906,"[71, 120, 55]",SAM
ocean,design,"[60, 126, 201]",6484,"[248, 119, 19]",81,"[248, 193, 133]",3364,"[200, 225, 235]",2142,"[248, 246, 61]",497,"[168, 215, 247]",SAM
flamingo,design,"[90, 68, 66]",864,"[177, 135, 65]",205,"[216, 150, 146]",1768,"[235, 190, 86]",59,"[217, 209, 211]",420,"[229, 153, 152]",SAM
lake,design,"[31, 77, 248]",2,"[38, 145, 116]",7598,"[119, 178, 193]",11008,"[48, 248, 59]",7,"[168, 231, 217]",5116,"[121, 200, 199]",SAM
quiet_forest,design,"[31, 40, 27]",6503,"[24, 86, 23]",7314,"[12, 98, 17]",3172,"[82, 127, 152]",552,"[96, 210, 37]",33,"[8, 56, 8]",SAM
peacock,design,"[78, 42, 137]",692,"[37, 103, 31]",3762,"[158, 56, 40]",145,"[119, 139, 158]",778,"[190, 174, 78]",575,"[70, 149, 86]",SAM
elephant,design,"[31, 32, 33]",2959,"[73, 76, 76]",11684,"[103, 88, 87]",3054,"[88, 74, 248]",2,"[107, 109, 122]",4457,"[120, 120, 120]",SAM
desert,design,"[69, 60, 36]",2582,"[166, 0, 248]",2,"[220, 172, 45]",9935,"[227, 197, 58]",4516,"[149, 240, 240]",1321,"[213, 184, 120]",SAM
glacier,design,"[7, 8, 248]",1,"[55, 79, 151]",677,"[116, 165, 177]",8094,"[14, 195, 179]",1482,"[112, 220, 223]",5298,"[208, 239, 240]",SAM
forest,design,"[42, 63, 39]",17413,"[7, 8, 248]",1,"[176, 103, 55]",205,"[106, 214, 134]",2782,"[98, 226, 99]",135,"[8, 88, 8]",SAM
sky,design,"[26, 39, 76]",3711,"[7, 8, 248]",29,"[56, 135, 210]",18566,"[123, 168, 227]",10657,"[186, 212, 237]",4263,"[103, 184, 247]",SAM
clear_sea,design,"[43, 61, 69]",2660,"[7, 8, 248]",4,"[76, 120, 162]",3458,"[58, 211, 246]",5310,"[118, 234, 235]",2957,"[80, 175, 240]",SAM
lively_forest,design,"[90, 82, 51]",8649,"[117, 175, 102]",21085,"[97, 196, 68]",20944,"[211, 191, 88]",9948,"[228, 240, 227]",3751,"[174, 233, 137]",SAM
clear_sky,design,"[144, 140, 131]",225,"[68, 185, 234]",2006,"[121, 208, 224]",15031,"[139, 248, 154]",291,"[217, 245, 247]",20587,"[161, 243, 243]",SAM
polluted_sea,design,"[24, 41, 57]",6582,"[82, 66, 33]",2516,"[7, 8, 248]",1,"[53, 96, 145]",3512,"[182, 201, 189]",679,"[39, 55, 55]",SAM
polluted_sky,design,"[7, 8, 248]",2,"[100, 130, 172]",3625,"[86, 144, 176]",7210,"[168, 152, 136]",10291,"[161, 163, 149]",11746,"[146, 146, 162]",SAM
olive,photo,"[90, 93, 20]",11622,"[128, 76, 227]",34,"[157, 153, 48]",9481,"[202, 191, 50]",7174,"[213, 210, 164]",4320,"[57, 56, 8]",SAM
eggplant,photo,"[76, 54, 39]",23889,"[114, 53, 89]",5059,"[165, 157, 109]",8699,"[158, 176, 84]",6203,"[177, 170, 186]",13761,"[48, 15, 16]",SAM
tangerine,photo,"[174, 115, 215]",44,"[237, 119, 16]",10071,"[246, 157, 41]",8153,"[237, 189, 131]",4511,"[247, 192, 69]",5703,"[218, 90, 8]",SAM
blueberry,photo,"[48, 71, 111]",26050,"[52, 11, 246]",62,"[98, 124, 39]",677,"[112, 144, 187]",16843,"[180, 198, 217]",11174,"[13, 24, 40]",SAM
apple,photo,"[105, 20, 208]",10,"[182, 61, 39]",23321,"[197, 143, 54]",13607,"[239, 196, 174]",9378,"[241, 220, 147]",8473,"[95, 13, 10]",SAM
fox,photo,"[104, 61, 32]",9190,"[89, 82, 78]",9935,"[200, 117, 34]",11499,"[190, 133, 81]",8339,"[166, 172, 185]",10187,"[240, 176, 112]",SAM
celery,photo,"[31, 50, 11]",5671,"[128, 68, 224]",20,"[144, 179, 51]",52016,"[81, 245, 10]",57,"[211, 225, 164]",20346,"[80, 112, 15]",SAM
grape,photo,"[51, 24, 213]",23,"[96, 86, 117]",20907,"[162, 77, 24]",3446,"[132, 128, 63]",4626,"[195, 190, 40]",3848,"[62, 13, 19]",SAM
tomato,photo,"[202, 46, 10]",32680,"[108, 119, 64]",4505,"[232, 108, 33]",18449,"[161, 130, 220]",26,"[240, 194, 172]",8414,"[160, 14, 8]",SAM
mushroom,photo,"[85, 74, 23]",16116,"[84, 35, 203]",6,"[186, 134, 69]",5625,"[183, 158, 120]",12821,"[220, 206, 189]",10994,"[85, 57, 9]",SAM
cherry,photo,"[210, 17, 23]",7705,"[201, 50, 78]",5094,"[195, 107, 143]",4809,"[177, 171, 61]",5410,"[205, 183, 185]",4041,"[162, 9, 10]",SAM
carrot,photo,"[61, 87, 21]",3715,"[135, 40, 232]",26,"[185, 60, 13]",10289,"[138, 171, 67]",8156,"[236, 178, 119]",5409,"[239, 112, 15]",SAM
banana,photo,"[111, 83, 26]",9381,"[112, 21, 230]",15,"[187, 137, 26]",17563,"[234, 194, 45]",14973,"[226, 202, 96]",13724,"[247, 236, 162]",SAM
peach,photo,"[180, 66, 30]",14928,"[219, 123, 108]",7839,"[225, 143, 48]",10536,"[231, 185, 173]",6919,"[248, 215, 146]",7115,"[112, 15, 16]",SAM
corn,photo,"[145, 84, 15]",10234,"[167, 45, 248]",3,"[112, 122, 34]",10696,"[211, 132, 14]",23236,"[213, 200, 136]",12329,"[240, 176, 15]",SAM
penguin,photo,"[49, 51, 68]",11224,"[36, 28, 170]",30,"[66, 64, 60]",19268,"[156, 156, 150]",25764,"[239, 245, 244]",7584,"[208, 208, 208]",SAM
crocodile,photo,"[91, 69, 25]",9475,"[69, 79, 223]",15,"[88, 102, 131]",14125,"[151, 140, 98]",4166,"[145, 154, 159]",11577,"[61, 45, 18]",SAM
tiger,photo,"[137, 90, 42]",19362,"[116, 119, 126]",15932,"[200, 130, 45]",13498,"[212, 176, 130]",10309,"[195, 199, 202]",13537,"[96, 54, 12]",SAM
mountains,photo,"[68, 59, 207]",31,"[63, 121, 158]",30418,"[129, 122, 72]",2863,"[234, 50, 38]",9,"[132, 145, 151]",19748,"[33, 82, 98]",SAM
lion,photo,"[56, 58, 187]",12,"[138, 92, 47]",77028,"[196, 129, 53]",32956,"[214, 171, 113]",53292,"[196, 177, 155]",26913,"[80, 47, 15]",SAM
flamingo,photo,"[137, 64, 48]",4177,"[158, 100, 111]",4748,"[210, 90, 45]",5938,"[106, 205, 72]",9,"[237, 167, 141]",5701,"[246, 213, 197]",SAM
ocean,photo,"[17, 70, 77]",10205,"[32, 110, 128]",27856,"[51, 151, 164]",32295,"[127, 163, 174]",30497,"[105, 187, 200]",31098,"[176, 207, 208]",SAM
peacock,photo,"[15, 52, 170]",4767,"[79, 71, 57]",6693,"[23, 103, 197]",2707,"[109, 129, 137]",6567,"[123, 139, 85]",3487,"[16, 16, 47]",SAM
quiet_forest,photo,"[78, 84, 58]",40583,"[98, 80, 43]",7965,"[88, 93, 41]",21130,"[145, 140, 73]",11377,"[151, 155, 142]",22026,"[48, 48, 15]",SAM
lake,photo,"[34, 48, 63]",31569,"[60, 94, 107]",25630,"[63, 100, 134]",29948,"[248, 8, 8]",1,"[147, 180, 213]",20543,"[116, 154, 188]",SAM
grassland,photo,"[11, 10, 173]",4,"[41, 72, 14]",30013,"[82, 124, 22]",62964,"[122, 168, 23]",75760,"[223, 236, 35]",15847,"[176, 208, 15]",SAM
elephant,photo,"[32, 19, 19]",6477,"[65, 46, 30]",27911,"[197, 147, 100]",7923,"[204, 171, 138]",17222,"[237, 245, 76]",44,"[143, 112, 80]",SAM
sky,photo,"[9, 70, 147]",7062,"[68, 148, 214]",36441,"[95, 159, 206]",64218,"[153, 188, 221]",49252,"[187, 207, 221]",17644,"[16, 111, 175]",SAM
clear_sky,photo,"[82, 131, 190]",26001,"[75, 158, 194]",28609,"[76, 153, 225]",36776,"[75, 190, 239]",7455,"[174, 210, 222]",22119,"[143, 176, 208]",SAM
desert,photo,"[109, 71, 45]",7774,"[156, 98, 50]",20253,"[174, 105, 40]",28945,"[242, 177, 103]",22612,"[232, 182, 132]",18069,"[208, 144, 80]",SAM
clear_sea,photo,"[248, 8, 8]",14,"[48, 153, 198]",9766,"[93, 229, 212]",43799,"[160, 221, 203]",70660,"[196, 218, 200]",27992,"[87, 222, 215]",SAM
glacier,photo,"[45, 92, 124]",20435,"[218, 82, 52]",13,"[56, 138, 191]",38998,"[109, 166, 199]",77039,"[63, 182, 229]",67036,"[144, 207, 240]",SAM
lively_forest,photo,"[88, 59, 192]",14,"[90, 92, 31]",159127,"[143, 88, 31]",55938,"[159, 153, 46]",93561,"[183, 179, 148]",29871,"[48, 48, 15]",SAM
forest,photo,"[63, 76, 36]",98658,"[95, 75, 32]",5695,"[90, 105, 44]",63671,"[141, 154, 70]",19196,"[145, 154, 132]",34147,"[48, 48, 15]",SAM
polluted_sky,photo,"[7, 8, 248]",1,"[107, 117, 120]",36298,"[248, 8, 8]",1,"[159, 166, 182]",31433,"[159, 170, 169]",54598,"[208, 208, 208]",SAM
polluted_sea,photo,"[70, 75, 65]",56004,"[92, 106, 104]",79948,"[95, 87, 216]",12,"[128, 150, 150]",64664,"[8, 247, 8]",1,"[48, 51, 34]",SAM
olive,clipart,"[68, 10, 181]",2,"[73, 81, 18]",7684,"[203, 9, 9]",3,"[137, 144, 32]",3274,"[59, 237, 14]",8,"[100, 116, 10]",SAM
eggplant,clipart,"[73, 10, 90]",9653,"[112, 0, 239]",9,"[77, 100, 33]",6124,"[172, 144, 169]",5703,"[127, 173, 42]",9452,"[57, 9, 57]",SAM
tangerine,clipart,"[41, 106, 59]",2717,"[187, 80, 238]",17,"[247, 85, 9]",3578,"[247, 111, 9]",16301,"[128, 203, 229]",1044,"[247, 154, 10]",SAM
blueberry,clipart,"[100, 59, 36]",214,"[14, 23, 242]",6,"[63, 80, 125]",6923,"[52, 135, 48]",280,"[129, 150, 188]",3797,"[43, 48, 97]",SAM
apple,clipart,"[187, 75, 68]",2061,"[74, 153, 42]",1178,"[247, 149, 39]",2209,"[240, 228, 78]",6396,"[240, 234, 201]",2804,"[248, 9, 7]",SAM
celery,clipart,"[65, 52, 220]",21,"[62, 123, 14]",15539,"[229, 128, 245]",21,"[195, 218, 116]",8496,"[220, 230, 181]",3026,"[131, 176, 30]",SAM
grape,clipart,"[55, 24, 37]",4058,"[112, 35, 94]",5731,"[86, 71, 36]",439,"[124, 89, 124]",7916,"[93, 154, 52]",707,"[80, 16, 48]",SAM
fox,clipart,"[75, 39, 29]",5426,"[71, 27, 228]",22,"[196, 87, 39]",6436,"[234, 187, 150]",5236,"[243, 241, 224]",17662,"[239, 112, 15]",SAM
tomato,clipart,"[114, 23, 207]",42,"[43, 104, 49]",7817,"[197, 52, 29]",5931,"[197, 118, 79]",5795,"[190, 194, 187]",3969,"[245, 47, 9]",SAM
cherry,clipart,"[115, 31, 152]",75,"[157, 30, 53]",11147,"[52, 109, 113]",1991,"[67, 133, 37]",14183,"[239, 214, 218]",2666,"[241, 8, 56]",SAM
carrot,clipart,"[40, 112, 43]",12426,"[157, 53, 226]",66,"[68, 119, 154]",1117,"[78, 171, 48]",17995,"[215, 137, 87]",3048,"[247, 120, 9]",SAM
banana,clipart,"[103, 58, 23]",4164,"[22, 74, 116]",319,"[87, 31, 233]",47,"[108, 178, 171]",1870,"[193, 184, 72]",8573,"[240, 208, 15]",SAM
mushroom,clipart,"[125, 2, 167]",7,"[202, 60, 60]",4347,"[205, 157, 110]",13875,"[171, 170, 102]",624,"[246, 228, 180]",11702,"[244, 89, 70]",SAM
corn,clipart,"[124, 19, 223]",11,"[119, 131, 65]",8658,"[205, 106, 16]",4016,"[133, 171, 51]",13440,"[244, 212, 60]",13705,"[240, 176, 15]",SAM
peach,clipart,"[184, 41, 219]",13,"[109, 146, 34]",1534,"[243, 71, 72]",5413,"[247, 173, 71]",6980,"[247, 208, 96]",7435,"[240, 112, 80]",SAM
crocodile,clipart,"[39, 76, 34]",9618,"[150, 56, 80]",431,"[123, 120, 105]",4415,"[75, 148, 23]",9494,"[183, 171, 110]",5822,"[16, 112, 48]",SAM
